[38;5;4mℹ Saving to output directory: /veld/output[0m
[38;5;4mℹ Using CPU[0m
[1m
=========================== Initializing pipeline ===========================[0m
[38;5;2m✔ Initialized pipeline[0m
[1m
============================= Training pipeline =============================[0m
[38;5;4mℹ Pipeline: ['tok2vec', 'ner'][0m
[38;5;4mℹ Initial learn rate: 0.001[0m
E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     46.57    0.27    0.36    0.22    0.00
  0     200         34.09   2520.09   50.23   46.09   55.18    0.50
  0     400         39.36   1903.25   67.32   65.21   69.57    0.67
  0     600         31.99   2026.32   65.27   78.41   55.90    0.65
  0     800         45.61   2411.27   74.10   68.80   80.29    0.74
  1    1000         52.05   2626.48   75.13   70.93   79.86    0.75
  1    1200         58.17   2673.44   75.81   75.30   76.33    0.76
  1    1400         66.06   3272.18   77.33   74.40   80.50    0.77
  2    1600         85.30   3242.85   77.61   75.42   79.93    0.78
  3    1800        102.16   3583.98   78.01   78.32   77.70    0.78
  4    2000        150.44   3875.40   77.62   78.80   76.47    0.78
  5    2200        148.27   3640.12   76.38   78.16   74.68    0.76
  6    2400        178.39   3531.71   74.77   77.82   71.94    0.75
  7    2600        172.63   3154.32   76.69   78.82   74.68    0.77
  8    2800        208.51   2836.89   76.25   78.86   73.81    0.76
 10    3000        172.44   2388.02   75.50   77.26   73.81    0.75
 11    3200        191.47   2139.77   75.92   76.08   75.76    0.76
 12    3400        182.75   1975.49   77.70   78.59   76.83    0.78
[38;5;2m✔ Saved pipeline to output directory[0m
/veld/output/model-last
